"","raceId","year","name_race","round","number","name_constructor","grid","position","positionText","positionOrder","points","status","constructorRef"
"1",42,2007,"United States Grand Prix",7,10,"BMW Sauber",7,8,"8",8,1,"Finished","bmw_sauber"
"2",46,2007,"Hungarian Grand Prix",11,19,"Toro Rosso",20,16,"16",16,0,"+1 Lap","toro_rosso"
"3",47,2007,"Turkish Grand Prix",12,19,"Toro Rosso",18,19,"19",19,0,"+1 Lap","toro_rosso"
"4",48,2007,"Italian Grand Prix",13,19,"Toro Rosso",16,18,"18",18,0,"+1 Lap","toro_rosso"
"5",49,2007,"Belgian Grand Prix",14,19,"Toro Rosso",16,NA,"R",21,0,"Steering","toro_rosso"
"6",50,2007,"Japanese Grand Prix",15,19,"Toro Rosso",8,NA,"R",19,0,"Collision","toro_rosso"
"7",51,2007,"Chinese Grand Prix",16,19,"Toro Rosso",17,4,"4",4,5,"Finished","toro_rosso"
"8",52,2007,"Brazilian Grand Prix",17,19,"Toro Rosso",13,NA,"R",18,0,"Hydraulics","toro_rosso"
"9",18,2008,"Australian Grand Prix",1,15,"Toro Rosso",9,NA,"R",20,0,"Collision","toro_rosso"
"10",19,2008,"Malaysian Grand Prix",2,15,"Toro Rosso",15,NA,"R",18,0,"Engine","toro_rosso"
"11",20,2008,"Bahrain Grand Prix",3,15,"Toro Rosso",19,NA,"R",22,0,"Engine","toro_rosso"
"12",21,2008,"Spanish Grand Prix",4,15,"Toro Rosso",18,NA,"R",22,0,"Collision","toro_rosso"
"13",22,2008,"Turkish Grand Prix",5,15,"Toro Rosso",14,17,"17",17,0,"+1 Lap","toro_rosso"
"14",23,2008,"Monaco Grand Prix",6,15,"Toro Rosso",19,5,"5",5,4,"Finished","toro_rosso"
"15",24,2008,"Canadian Grand Prix",7,15,"Toro Rosso",19,8,"8",8,1,"Finished","toro_rosso"
"16",25,2008,"French Grand Prix",8,15,"Toro Rosso",12,12,"12",12,0,"Finished","toro_rosso"
"17",26,2008,"British Grand Prix",9,15,"Toro Rosso",8,NA,"R",19,0,"Collision","toro_rosso"
"18",27,2008,"German Grand Prix",10,15,"Toro Rosso",9,8,"8",8,1,"Finished","toro_rosso"
"19",28,2008,"Hungarian Grand Prix",11,15,"Toro Rosso",11,NA,"R",20,0,"Overheating","toro_rosso"
"20",29,2008,"European Grand Prix",12,15,"Toro Rosso",6,6,"6",6,3,"Finished","toro_rosso"
"21",30,2008,"Belgian Grand Prix",13,15,"Toro Rosso",10,5,"5",5,4,"Finished","toro_rosso"
"22",31,2008,"Italian Grand Prix",14,15,"Toro Rosso",1,1,"1",1,10,"Finished","toro_rosso"
"23",32,2008,"Singapore Grand Prix",15,15,"Toro Rosso",6,5,"5",5,4,"Finished","toro_rosso"
"24",33,2008,"Japanese Grand Prix",16,15,"Toro Rosso",9,6,"6",6,3,"Finished","toro_rosso"
"25",34,2008,"Chinese Grand Prix",17,15,"Toro Rosso",6,9,"9",9,0,"Finished","toro_rosso"
"26",35,2008,"Brazilian Grand Prix",18,15,"Toro Rosso",7,4,"4",4,5,"Finished","toro_rosso"
"27",1,2009,"Australian Grand Prix",1,15,"Red Bull",3,13,"13",13,0,"Collision","red_bull"
"28",2,2009,"Malaysian Grand Prix",2,15,"Red Bull",13,15,"15",15,0,"Spun off","red_bull"
"29",3,2009,"Chinese Grand Prix",3,15,"Red Bull",1,1,"1",1,10,"Finished","red_bull"
"30",4,2009,"Bahrain Grand Prix",4,15,"Red Bull",3,2,"2",2,8,"Finished","red_bull"
"31",5,2009,"Spanish Grand Prix",5,15,"Red Bull",2,4,"4",4,5,"Finished","red_bull"
"32",6,2009,"Monaco Grand Prix",6,15,"Red Bull",4,NA,"R",18,0,"Accident","red_bull"
"33",7,2009,"Turkish Grand Prix",7,15,"Red Bull",1,3,"3",3,6,"Finished","red_bull"
"34",8,2009,"British Grand Prix",8,15,"Red Bull",1,1,"1",1,10,"Finished","red_bull"
"35",9,2009,"German Grand Prix",9,15,"Red Bull",4,2,"2",2,8,"Finished","red_bull"
"36",10,2009,"Hungarian Grand Prix",10,15,"Red Bull",2,NA,"R",17,0,"Suspension","red_bull"
"37",11,2009,"European Grand Prix",11,15,"Red Bull",4,NA,"R",20,0,"Engine","red_bull"
"38",12,2009,"Belgian Grand Prix",12,15,"Red Bull",8,3,"3",3,6,"Finished","red_bull"
"39",13,2009,"Italian Grand Prix",13,15,"Red Bull",9,8,"8",8,1,"Finished","red_bull"
"40",14,2009,"Singapore Grand Prix",14,15,"Red Bull",2,4,"4",4,5,"Finished","red_bull"
"41",15,2009,"Japanese Grand Prix",15,15,"Red Bull",1,1,"1",1,10,"Finished","red_bull"
"42",16,2009,"Brazilian Grand Prix",16,15,"Red Bull",15,4,"4",4,5,"Finished","red_bull"
"43",17,2009,"Abu Dhabi Grand Prix",17,15,"Red Bull",2,1,"1",1,10,"Finished","red_bull"
"44",337,2010,"Bahrain Grand Prix",1,5,"Red Bull",1,4,"4",4,12,"Finished","red_bull"
"45",338,2010,"Australian Grand Prix",2,5,"Red Bull",1,NA,"R",17,0,"Wheel","red_bull"
"46",339,2010,"Malaysian Grand Prix",3,5,"Red Bull",3,1,"1",1,25,"Finished","red_bull"
